post,label
Racist I am very racist and you should be racist too,bad
lgbtq+ I hate lgbtq+,bad
Be racist be racist,bad
Cats I love cats,good
Stop Everyone should stop being racist,good
Hate I hate everyone,bad
Smile Life is beautiful,good
Spam Buy this spam product,bad
http://spam.com http://spam.com,bad
Happy Today is amazing,good
Love I love my friends,good
Terrible This is horrible,bad
Fun Going to the park is fun,good
Awful This is the worst,bad
Great I had a great day,good
Stupid I am so stupid,bad
Nice The weather is nice today,good
Insult You are an idiot,bad
Peace I enjoy peaceful moments,good
Horrible That was a horrible movie,bad
test title test content,good
